frame,hip_x,hip_y
0,0.4229910373687744,0.6708208322525024
1,0.4224220812320709,0.6702083945274353
2,0.4223112463951111,0.6702073812484741
3,0.4221087694168091,0.670577347278595
4,0.4219495356082916,0.6709839105606079
5,0.42194581031799316,0.6717191338539124
6,0.42171481251716614,0.6733655333518982
7,0.42169949412345886,0.6760319471359253
8,0.4216635525226593,0.677405059337616
9,0.42150065302848816,0.6775861382484436
10,0.42131081223487854,0.677556574344635
11,0.42127493023872375,0.6774097681045532
12,0.42126432061195374,0.6773722767829895
13,0.42124196887016296,0.6772817969322205
14,0.42121440172195435,0.6774179935455322
15,0.4206838309764862,0.6775456070899963
16,0.4206836521625519,0.6775115728378296
17,0.42069435119628906,0.6774669885635376
18,0.4210298955440521,0.6774358153343201
19,0.4216383993625641,0.6775527596473694
20,0.4216715097427368,0.6781962513923645
21,0.4226464033126831,0.67934650182724
22,0.42376774549484253,0.6797411441802979
23,0.4246746897697449,0.679728090763092
24,0.4250766932964325,0.6793487071990967
25,0.4250601828098297,0.6786004900932312
26,0.42501309514045715,0.6771607995033264
27,0.4241431951522827,0.6756794452667236
28,0.4229455590248108,0.6741855144500732
29,0.422076016664505,0.6739056706428528
30,0.42208725214004517,0.6735604405403137
31,0.4219217896461487,0.6735901832580566
32,0.421912282705307,0.6737746000289917
33,0.4219290316104889,0.673829972743988
34,0.4220291078090668,0.673848569393158
35,0.4223591089248657,0.673860490322113
36,0.4231783151626587,0.6738848686218262
37,0.423785537481308,0.6738964319229126
38,0.4244699478149414,0.6738887429237366
39,0.42469868063926697,0.6737987995147705
40,0.4247073233127594,0.6735586524009705
41,0.4247095584869385,0.673460841178894
42,0.4246998429298401,0.6733220815658569
43,0.42455023527145386,0.673332929611206
44,0.4236832559108734,0.6733800768852234
45,0.4232686460018158,0.6734138131141663
46,0.4232005774974823,0.6735554337501526
47,0.4228385090827942,0.6737884283065796
48,0.4226531386375427,0.674140214920044
49,0.42261993885040283,0.6746016144752502
50,0.42263057827949524,0.6754758358001709
51,0.42261937260627747,0.6757247447967529
52,0.42245814204216003,0.6758990287780762
53,0.42241477966308594,0.6760119199752808
54,0.4224819540977478,0.6762261390686035
55,0.42248085141181946,0.6762638092041016
56,0.42278584837913513,0.6762472987174988
57,0.4228212535381317,0.6762465238571167
58,0.42302852869033813,0.676246166229248
59,0.423342227935791,0.6762374043464661
60,0.4234604239463806,0.6762366890907288
61,0.4236619472503662,0.6762363314628601
